id,tanggal,kalimat,ket
NULL,2021-05-16,"Belajar daring tuh susah bgt. Apalagi aku belajar sesuatu yg baru yg blm pernah aku ketahui sebelumnya. Trs pengajarnya juga kurang kompoten aku rasa. Karena gak punya jadwal pembelajaran yg tetap . Mending² ikut prakerja deh, setidaknya ada jadwal tetapnya.",1
NULL,2021-05-17,"@radenrauf Tidak lain tidak bukan pasti akan ngejos sekaleee jika dibuat pembelajaran daring via Meeting Teams dengan murid, akan sangat membantu sekali buat pembelajaran tiap harinya🥺",0
NULL,2021-05-18,"bosen pembelajaran daring sumpah, daftar cpns aja lach",1
NULL,2021-05-17,"@collegemenfess Yg perlu diperbaiki Terkait akses pembelajaran daring anak masih blm bisa menggunakan akses dgn baik, kebanyakan anak tdk suka PJJ karna merasa diberatkan oleh tugas dan merasa bosan, ortu kesulitan dlm mendampingi dan mengatur anak utk belajar",1
NULL,2021-05-17,"Anak2 jg terdampak pandemi krn tdk dapat belajar lgs di sekolah dan hrs belajar daring. Kebayang kan mrk yg susah mendapat koneksi internet, oleh sebab itu pemerintah melakukan percepatan layanan internet spy dpt mendukung pembelajaran daring. https://t.co/LHz05kYp76",0
NULL,2021-05-18,"Semenjak kenal dgn yg namanya pembelajaran daring, beberapa  oknum  guru mulai ga ngotak memakai sistem ini.Tanggal marah siswa masih diwajibkan ulangan ataupun sebatas menjelaskan materi saja. Bahkan yg lebih parahnya jadwal ulangan siswa di setting mulai pukul 20.00",1
NULL,2021-05-18,"Jujur selama pembelajaran daring aku sadar kalo otakku jadi downgrade : D",1
NULL,2021-05-17,"[Mahasiswa kesehatan]Get Reward Giveaway 400k untuk 20 respondenKondisi Mahasiswa Selama Pembelajaran DaringFrom: Psikologi UIhttps://t.co/BZF2SERNHh#bantungisi #surveionline #kuesioner #skripsi https://t.co/x02ScvbLRz",0
NULL,2021-05-17,"Pembelajaran daring berimpact juga untuk hubungan pertemanan Temen yg awalnya cuma sekedar tau di kelas sekarang malah jadi makin akrabAda yg awalnya udah akrab jadi semakin akrab Yang menghilang juga ada",0
NULL,2021-05-17,"Mengintegrasikan dunia digital &amp; buku teks dapat dilakukan untuk meningkatkan kinerja siswa dalam pembelajaran digital. Misal, buku teks dapat dikembangkan untuk menopang materi daring &amp; mencapai tujuan pembelajaran yang spesifik. #ADBIndonesia",0
NULL,2021-05-17,"Halo! Kami mahasiswi psikologi UI yg sedang melakukan penelitian skripsi mengenai kondisi mahasiswa selama pembelajaran daring.Apabila teman2 memenuhi kriteria berikut, kami mohon kesediaannya utk mengisi kuesioner kami pada link berikut:https://t.co/ZPiP7QpDED Terima kasih! https://t.co/Y9b1ERes56",0
NULL,2021-05-17,"Di sini banyak orang kekurangan gak ditengok, di sini banyak anak tidak dapat bersekolah gak peduli, bahkan untuk pembelajaran daring saja gak sanggup karena gak punya HP.Dan kalian sibuk donasi2 yg gak jelas pertanggungjawabannya.Kek gitu TWK gak lulus ngamuk#NyilUnyil https://t.co/XAlCVOoBMM",1
NULL,2021-05-17,"Setahin pembelajaran daring, guru cuma kasih tugas;Pelajari halaman sekian sampai sekian, kerjakan latihan a b c,Rangkum halaman sekian.Wehhh",1
NULL,2021-05-17,"@radenrauf Buat pembelajaran daring via zoom aman terkendali, apalagi kalau menjelaskan rumus-rumus, lancar jaya tanpa ngelag, jadi siswa pun semangat belajarnya",0
NULL,2021-05-17,"E-jaring merupakan pembelajaran daring perikanan yang menyediakan berbagai pelatihan untuk pengembangan kompetensi masyarakat kelautan dan perikanan. https://t.co/3WriYqtKRF #kkprebound #akuakulturuntukmasadepan #akuakulturberkelanjutan #ayobudidayaikan",0
NULL,2021-05-17,"@IndiHomeCare Min kok pagi² lemot sehh, lagi pembelajaran daring nihh",1
NULL,2021-05-16,"Semakin kamu membela kebenaran maka semakin banyak kawan yang kau hadapi. Selamat pagi, selamat beraktifitas, oh iyah.. pembelajaran masih daring tapi lebih kejam teroris daripada Corona #IsraelStopPlayingVictim https://t.co/x2fcdOYJaz",0
NULL,2021-05-16,"@dimas_TH Ya semua terjadi begitu cepat, seperti segala hal, rapat, belanja, pembelajaran lewat daring. Teknologi dituntut cepat berkembang, tapi tata cara menggunakan teknologi tidak secepat itu berkembang apalagi diterapkan. Dituntut melek &amp; lari tapi baru bisa belajar berdiri.",1
NULL,2021-05-16,"Singkat kata, pemerintah telah memberlakukan sistem Pembelajaran Jarak Jauh (PJJ) atau yang disebut dengan pembelajaran daring (online).",0
NULL,2021-05-16,"@rzhfdhkth semangat!!masih daring yaa? skulku dah offline sejak awal pembelajaran 😞",1
NULL,2021-05-16,"Ganjar Pranowo membaca tulisan tangan para siswa yang menceritakan pengalaman mereka selama mengikuti pembelajaran daring. https://t.co/6nqRG0Vexv",1
NULL,2021-05-16,"otak ku sudah penuh sama pembelajaran daring :3",1
NULL,2021-05-16,"@himawarisnshine sama udah mau gila aja rasanya gue.pembelajaran daring,mayoritas guru cuman ngasih materi yt,tugas,soal, jrng njelasin secara langsung.tapi pas ujian kenaikan kelas sistwmnya offline disekolah : )",1
NULL,2021-05-16,"Disaat masih berlangsungnya pandemi Covid–19, Ditpolairud Polda Kalteng khususnya Marnit Batanjung terus berusaha melaksanakan pembelajaran secara Daring untuk adik–adik pelajar Pesisir Kapuas Kuala dan sekitarnya, Minggu (16/05/2021) pagi. https://t.co/4k9FITPf76",0
NULL,2021-05-16,"Acara HIAS 2021 ini akan membantu menyalurkan aspirasi mahasiswa berupa sistem perkuliahan yang ada di TIP baik tentang sistem pelayanan mahasiswa, maupun mengenai pembelajaran daring.Untuk menyampaikan aspirasi kalian,",0
NULL,2021-05-16,"Rek bwi aku mau minta tolong isiin kuesioner dong, butuh banyak bgt responden. Kriterianya buat klen mahasiswa yg pernah merasakan pembelajaran daring. Makasih yaaa, link-nya nanti aku share di komen",0
NULL,2021-05-16,"@collegemenfess Astagfirullahaladzim... gue aja yang baru honorer lagi capek bgt mikirin nasib anak Bangsa kalau proses pembelajaran daring mulu baru buka twitter malah liat ginian pengen banget gampar lo gilaaaaa.. siapa yg ngajarin lo waktu sekolah heyyy!!! Apa lo gak pernah sekolah?",1
NULL,2021-05-16,"-- oke skrg masa pandemi, pembelajaran daring. Lah, anda ga mikir mereka belajar perlu kuota?. Oke misalkan 650rb itu cuma khusus buat istri saja, uang buat beli bahan masak misalnya. Perlu diketahui juga nih anda sekeluarga tinggal dimana. Kalo anda tinggal di ---",1
NULL,2021-05-15,"Seorang siswa kelas 7 Mts asal Grobogan, Jateng rela menjadi kuli bangunan rumah tetangganya. Pekerjaan itu harus ia lakukan agar bisa membeli ponsel sendiri untuk pembelajaran daring. Simak kisahnya di channel MMC! https://t.co/lKvrZOumFf",1
NULL,2021-05-15,"@GodD4mn1t Ikut GA krn pengen punya uang sendiri, selama pembelajaran daring gak pernah dikasih uang saku padahal kadang pengen jajan gt jadi biar bisa jajan ikut GA deh",1
NULL,2021-05-15,"Kendala yang saya hadapi saat melakukan identifikasi terhadap peserta didik yang berkebutuhan khusus diantaranya observasi dilakukan secara daring, meskipun hal ini telah pernah dilakukan sewaktu pembelajaran tatap muka sebelum masa pandemi.#GBInklusif #PendidikanInklusif",1
NULL,2021-05-15,"Apa yang membuat kalian (cewek) lebih memilih ngekos daripada dirumah pas pembelajaran daring seperti ini? Umsfess-",0
NULL,2021-05-14,"1. Maksimalkan belajar di sekolah, bimbel, ketika waktunya belajarKetika di sekolah &amp; bimbel, dengarkan baik2 apa yg diajarkan. Aktiflah saat pembelajaran, ini sbg salah satu bentuk hormat ke guru juga. Tanyalah ketika blm paham. Diskusilah bareng teman, daring ataupun luring.",0
NULL,2021-05-14,"Anda kah salah satu aktornya? Mulai dr yg pakai masker, social distanjing, psbb/ppkm, pemberlakuan jam malam, pembelajaran daring, zoom meeting, WFH, swab test, PCR, baju astronot dsbCHINA WUHAN HANYA DIJADIKAN TEMPAT SEBAGAI LEGAL TRUST DAN PROPAGANDA KETAKUTAN",1
NULL,2021-05-14,"Jadi selama proses pembelajaran daring 2020/2021. Aku merasa kurang efektif banget. Apalagi semester 2, libur gak tau tempatnya, guru-guru pada rapat, materinya banyak banget. Sebenarnya sekolah aku tipenya tiap hari ada zoom 5 jam, gak ada kata jamkos. JUJUR GAK PERNAH JAMKOS",1
NULL,2021-05-14,"@subschfess mempengaruhi dalam menciptakan situasi yang kondusif untuk pembelajaran daring, mempengaruhi dalam menyediakan fasilitas pembelajaran di rumah kyk gadget, internet dll",1
NULL,2021-05-14,"sch!guise keluarga mempengaruhi atau engga dalam mengikuti pembelajaran daring ini?kalo iya, apa aja yang mempengaruhi?(untuk tugas penelitian aku 😭) thank you yang udah jawab 🙏 https://t.co/Gv7VJzMQs3",0
NULL,2021-05-13,"@bertanyarl Dimasa pembelajaran daring gini lebih suka tugas kelompok apa individu?",0
NULL,2021-05-13,"Dengan demikian, akan ada dua model pembelajaran pada 5 Juli nanti, Yaitu sekolah tatap muka dan juga daring.",0
NULL,2021-05-12,"gue baru inget video pembelajaran selama daring ga pernah di hapusin. pantesan storage gue penuh bgt. LOLOLOLOL",1
NULL,2021-05-12,"Maaf sebelumnya, Plis bantuin aku isi Kuesioner ttg Pembelajaran Daring ya say! Utk tugas. Rep aja ntar aku DM. Terima kasih orang baik",0
NULL,2021-05-12,"@WidasSatyo Harusnya sih bisa apalagi sekarang belajarnya daring, harusnya sih bisa banget sambil belajar sambil buka2 situs pembelajaran tentang saham",0
NULL,2021-05-12,"Kepala Dinas Pendidikan Aceh, Alhudri, meminta agar sekolah menghentikan proses belajar tatap muka di zona merah. Selanjutnya, proses pembelajaran dan ujian dapat dilaksanakan dengan sistem dalam jaringan (daring). https://t.co/bxR4GnouHk",0
NULL,2021-05-11,"@unnaturral Ujian gpp deh daring, tp klo pembelajaran shari  enak luring😭",1
NULL,2021-05-11,"[cm] Di kalian ada ga dosen yang ga mau pake hp android? jadi ngehubungin beliau cuma bisa via nomor/email.Aku kuliah diluar kota, semester ini aku kuliah daring, tapi cuma karna beliau, mau ga mau setelah lebaran harus balik ke kos, karena beliau gak mau pembelajaran (cont)",1
NULL,2021-05-11,"guys kira kira kelebihan sama kekurangan pembelajaran daring mnurut kalian apa ya ini serius nanya smua pendapat kalian akn kumasukkan ke laporan",1
NULL,2021-05-11,"tanyarl di base ini ada kah guru matematika yang bersedia di wawancara santai saja lewat dm tentang kecemasan matematika pada anak2 yang diajar selama pembelajaran daring ini? untuk tugas kuliah 🙏 terima kasih banyak ✨",1
NULL,2021-05-11,"@gopayindonesia Mottoku semangat Suwit Gopay#MenangSuwitGoPay Alasan utamaku, biar bisa beli kuota sendiri ditengah pembelajaran daring tanpa ngebebanin orang tua 🤗❣️Tentunya nyari bekel tambahan dan dikala pengen beli sesuatu bisa pakai hasil Suwit Gopay, karena daring dompet pun kering🤧 https://t.co/rMvTU8Tn8p",0
NULL,2021-05-11,"Pembelajaran Daring, Akademisi Undiksha: Tetap Pertahankan Pendidikan Karakter https://t.co/VXjbR6D3k7",0
NULL,2021-05-11,"pembicaraan hari ini di ruang guru mengenai pembelajaran daring, tidak hanya murid yg  sak enake dewe  bahkan wali murid juga.",1
